País,Organización responsable,"Sistema de información, instrumento u operación estadística",Microdatos disponibles,Primer año disponible,Último año disponible,Cobertura geográfica,Descripción,Link
Colombia,Programa Fortalecimiento de Museos,SIMCO,,,,,Sistema de Información de Museos de Colombia,
Colombia,Programa Fortalecimiento de Museos,Encuesta PFM: Museos colombianos y pandemia,No,2019,,Nacional,"Mide el impacto del COVID-19 en instituciones museales, afectaciones y/o retos de operación.",https://docs.google.com/forms/d/e/1FAIpQLSf39TfXhVoksGAddbBbSORgbpV8GimnNw08qXwkffXzeTVd8w/closedform
Colombia,Universidad de Manizales,Museos y Economía Naranja,No,2019,,Nacional,"En el marco de la asignatura ""Políticas de Comunicación e Industrias Culturales"" de la Especialización en Gestión Cultural con énfasis en Planeación y Políticas Culturales de la Universidad Nacional de Colombia - Sede Manizales, lo invitamos a participar de un pequeño sondeo que tiene como fin rastrear sus impresiones acerca del papel de la Economía Naranja en los espacios museales e instituciones de patrimonio y cultura.",https://docs.google.com/forms/d/e/1FAIpQLSfWNPN4NROjStjsUFwpgGEHYXtHjqFxM1ITxTUfzULMhPTxgQ/viewform
Colombia,Instituto Distrital de Turismo - IDT,Instrumento de Caracterización Museos,No,2016,,Bogotá,Compromisos asumidos por la Mesa Cultural de Museos y el Instituto Disitrital de Turismo en noviembre de 2015,https://www.culturarecreacionydeporte.gov.co/sites/default/files/9_acta_mcmb_25_noviembre_2015_museo_bogota.pdf
Colombia,Política Pública Distrital de Economía Cultural y Creativa - SCRD,Instrumento para la identificación de las necesidades financieras del sector cultural y creativo,No,2020,,Bogotá,"Caracterización de entidades que desarrollen actividades económicas del sector cultural y creativo, con el propósito de conocer sus necesidades en términos de recursos, así como su acceso a los mecanismos financieros existentes",https://docs.google.com/forms/d/e/1FAIpQLSdWGjumqk1SlkyK65a2lhtjpHTgwalk9XLsgmO9FqqFagG0qw/viewform
Colombia,Programa Fortalecimiento de Museos,Encuesta de registro y clasificación de museos,No,2012,2019,Nacional,"El Sistema de Información de Museos desde el año 2012 hace gestión y análisis de información que permita comprender, identificar y establecer el nivel de desempeño, la diversidad de las entidades museales del país, que albergan patrimonio material, inmaterial y natural.",http://simco.museoscolombianos.gov.co/
Colombia,"Secreatría de Cultura, Recreación y Deporte - SCRD",Encuesta Bienal de Cultura de Bogotá,No,2001,2019,Bogotá,"Encuesta probabilística que se realiza cada 2 años, en el formulario se indaga por la asistencia a bibliotecas, museos y otros espacios para hacerles seguimiento a la demanda y al nivel de participación.",https://www.culturarecreacionydeporte.gov.co/es/cultura-ciudadana/subdireccion-observatorio-de-culturas/encuesta-bienal-de-culturas/encuesta-2019
Colombia,Departamento Andministrativo Nacional de Estadística - DANE,Encuesta de Consumo Cultural,Sí,2010,2017,Nacional,"El módulo de Espacios culturales indaga por la asistencia a bibliotecas, casas de la cultura, centros culturales, museos, galerías y salas de exposiciones; monumentos históricos, sitios arqueológicos, monumentos nacionales y centros históricos. ",https://www.dane.gov.co/index.php/estadisticas-por-tema/cultura/consumo-cultural
Colombia,Departamento Andministrativo Nacional de Estadística - DANE,Cuenta satélite de la cultura de Bogotá,Sí,2010,2017,Bogotá,"Sistema de información económica focalizado, continuo y comparable de las actividades y productos culturales, que toma como referencia general el Sistema de Cuentas Nacionales de Naciones Unidas",https://www.dane.gov.co/index.php/estadisticas-por-tema/cuentas-nacionales/cuentas-satelite/cuenta-satelite-de-cultura-en-colombia/cuenta-satelite-de-la-cultura-bogota-2010-2017p
Colombia,Departamento Andministrativo Nacional de Estadística - DANE,Cuenta satélite de cultura y economía naranja (CSCEN),Sí,2014,2018,Nacional,"Impacto económico de asociados a las industrias culturales y creativas, que conjugan la creación, la producción y la comercialización de bienes y servicios basados en contenidos digitales de carácter cultural, y/o aquellas que generen protección en el marco de los derechos de autor",https://www.dane.gov.co/index.php/estadisticas-por-tema/cuentas-nacionales/cuentas-satelite/cuenta-satelite-de-cultura-en-colombia
Colombia,Datlas de Bancoldex,"Información de exportaciones, importaciones, empleo, salarios, vacantes, actividades...",,,,,Sector museos y preservación de lugares y edificios históricos,http://datlascolombia.bancoldex.com/#/industry/433
