"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
102566595007462_221623049768482,https://www.facebook.com/permalink.php?story_fbid=221623049768482&amp;id=102566595007462,"#MuseosEnParo La Alianza de Museos marcha hoy en #barranquilla 

#MuseumsAreNotNeutral #soscolombia",Video,,,"05/14/2021 05:30:14 PM"," ",31,31,0,31,31,0,3,0,0,0,0,23,23,0,0,3,5,5,0,0,8,8,0,0,4849,6251,2,3,,2,3,,,,,,,,,,,,,
102566595007462_221501423113978,https://www.facebook.com/permalink.php?story_fbid=221501423113978&amp;id=102566595007462,"El PARO INTERNACIONAL DE MUSEOS 13M EN REDES

Los museos del mundo nos escucharon. 
¡Gracias por unirse a nuestras voces!
¡Gracias por su apoyo!

#MuseosEnParo
#MuseumsAreNotNeutral 
#SOSColombia",Video,,,"05/14/2021 11:51:38 AM"," ",69,69,0,70,70,0,5,3,4,0,0,65,65,0,0,3,1,1,0,0,18,18,0,0,5031,80991,2,3,,2,3,,3,1,,,3,1,,,,,,
102566595007462_221500503114070,https://www.facebook.com/permalink.php?story_fbid=221500503114070&amp;id=102566595007462,"GRACIAS POR APOYO AL PARO INTERNACIONAL DE MUSEOS 13M

Los museos del mundo nos escucharon. 
¡Gracias por unirse a nuestras voces!
¡Gracias por su apoyo!

#MuseosEnParo
#MuseumsAreNotNeutral 
#SOSColombia",Video,,,"05/14/2021 11:48:49 AM"," ",89,89,0,93,93,0,7,3,4,0,0,71,68,0,0,6,2,2,0,0,17,17,0,0,4473,51107,2,5,,2,5,,2,2,,,2,2,,,,,,
102566595007462_221454059785381,https://www.facebook.com/permalink.php?story_fbid=221454059785381&amp;id=102566595007462,"#MuseosEnParo Escuche el mensaje que Marcelo Araujo, ex-presidente del IBRAM envía a los participantes del Paro Internacional de Museos.

#MuseumsAreNotNeutral
#soscolombia",Video,,,"05/14/2021 10:07:59 AM"," ",139,139,0,139,139,0,9,5,5,0,0,83,83,0,0,7,2,2,0,0,41,42,0,0,5142,44951,4,5,,4,6,,,5,,,,5,,,,,,
102566595007462_220787813185339,https://www.facebook.com/permalink.php?story_fbid=220787813185339&amp;id=102566595007462,"Únete al Paro de Museos respondiendo a una o varias de estas preguntas en un video y publicándolo con los hashtags #MuseumsAreNotNeutral #MuseosEnParo #soscolombia

¿Cómo ven los museos en el mundo este llamado al Paro de Museos?

¿Cómo repensar los museos para ponerlos al sevicio de las comunidades?

¿Qué mensaje le envías a los jóvenxs trabajadorxs de museos en Colombia? 

Responde Graciela de la Torre, mexicana, exdirectora de museos como el Museo Nacional de San Carlos, el Museo Nacional de Arte y el Museo Universitario de Arte Contemporáneo.
#MuseumsAreNotNeutral 
#soscolombia 
#MuseosEnParo

Vea el video aquí: https://youtu.be/N5ciTGM2cqM",Photo,,,"05/13/2021 12:55:59 PM"," ",3883,3913,0,3883,3883,0,109,57,72,0,0,287,281,0,0,34,0,0,0,0,0,0,0,0,0,0,3,60,5,54,70,12,,31,22,10,,40,22,10,,,,
102566595007462_220688816528572,https://www.facebook.com/permalink.php?story_fbid=220688816528572&amp;id=102566595007462,"Segundo reporte de impacto del Paro Internacional de Museos.",Video,,,"05/13/2021 09:18:47 AM"," ",206,206,0,211,211,0,19,10,10,0,0,85,80,0,0,10,18,19,0,0,74,84,0,0,6997,26680,3,9,,4,9,,6,4,,,6,4,,,,,,
102566595007462_220299009900886,https://www.facebook.com/permalink.php?story_fbid=220299009900886&amp;id=102566595007462,"Seguimos preparando el Paro Internacional de Museos 13M",Link,,,"05/12/2021 07:53:07 PM"," ",174,174,0,175,175,0,14,3,3,0,0,143,141,0,0,11,0,0,0,0,0,0,0,0,0,0,,10,1,,11,1,,,,3,,,,3,,,,
102566595007462_220132546584199,https://www.facebook.com/permalink.php?story_fbid=220132546584199&amp;id=102566595007462,"Reporta aquí tu adhesión al Paro Internacional de Museos: https://forms.gle/azd24oMTfoK2wJcL8",Link,,,"05/12/2021 12:48:29 PM"," ",190,190,0,196,196,0,27,11,12,0,0,151,145,0,0,21,0,0,0,0,0,0,0,0,0,0,3,16,1,5,17,1,,,,11,,,,12,,,,
102566595007462_220131949917592,https://www.facebook.com/permalink.php?story_fbid=220131949917592&amp;id=102566595007462,https://www.youtube.com/watch?v=wbsRnXtX9ws,Link,,,"05/12/2021 12:47:03 PM"," ",184,184,0,187,187,0,54,11,12,0,0,138,136,0,0,22,0,0,0,0,0,0,0,0,0,0,4,37,4,16,39,9,,2,,9,,3,,9,,,,
