Institución,País,Ciudad - Region ,Adhesión FB,Adhesión IG,Adhesión TW,Adhesión Forms,Total adhesiones,Correo o Carta PDF,Fecha y Hora de adhesión,Link? Si está disponible
ICOM,Argentina,,1,,1,,1,1,11/05/2021 5:47 p.m.,
Museo de Antropología,Argentina,,,,0,,0,,,
Museo de la Mujer,Argentina,,,,1,,1,,11/05/2021 8:55 p.m.,
Museo Virtual Clara Morales,Argentina,,1,,,,1,,11/05/2021 6:10 p.m.,
Museo de Antropología UNC,Argentina,,1,0,,,1,,12/05 10:16 a.m.,
Espacios para la memoria Córdoba ,Argentina,Córdoba,,,0,,0,,12/05 1:00p.m.,
Museos de Bahía Blanca,Argentina,Bahía Blanca,,1,,,1,,,
Museo de Arte Popular José Hernández,Argentina,Buenos Aires,,,,,0,,,
Museo de Sitio Campos de la Ribera,Argentina,Cordoba,,,,,0,,,https://www.facebook.com/1651947885058585/posts/2878300895756605/
Museo Ensaga Museo Escolar Garzón Agulla,Argentina,,,,,,0,,,
Ferrowhite Museo Taller,Argentina,Buenos Aires,1,,,,1,,,
Museo Gallardo ,Argentina ,Rosario,,,,,,,,
Espacios para la Memoria de Córdoba,Argentina ,Cordoba,,,,,,,,
Sala Malicha Sala de lectura infantil y juvenil ,Argentina ,Cordoba,,,,,,,,
ICOM,Brasil,,,,,,0,,13/05,
SISEM SP (Sistema Estadual du Museus Du Brasil),Brasil,,,,,,0,,13/05,
Museu Diários do Isolamento,Brasil,,,,,,0,,,
Instituto de Conservação e Restauro Pachamama,Brasil,,,,,,,,,
Asociación Brasilera de Ecomuseos y Museos Comunitarios ,Brasil ,,1,,,,1,,,
Educamuseu,Brasil ,,,1,1,,1,,11/05 12:00 m,
ICOM,Brasil ,,,,,,0,,,
Museología Informal: Práctica y Reflexiones,Brasil ,,,,,,0,,11/05 12:10 m,
Més País Cultura,Catalunya,,,,,,0,,13/05,
ICOM,Chile,,,1,1,1,1,,12/05 6:55 a.m.,
Museo de los Museos,Chile,,,1,1,,1,,07/05,
Museo de los Museos ,Chile,,,,,,0,,13/05,
Museo de la Solidaridad Salvador Allende,Chile,,,,,,0,,,
Museo Nacional Bellas artes Santiago de Chile. Gloria Cortés,Chile,,,,,,,,,
Museo de las Mujeres Chile,Chile,,,,,,0,,,
Museo Q,Colombia,Virtual,,1,,,1,,09/05/2021,
Entre Ríos,Colombia,,,1,1,,1,,11/05 3:00 p.m.,
ICOM,Colombia,,,,1,,1,,11/05 2:08 p.m.,
Museo Comunitario Guainia,Colombia,Guainia,1,,,,1,,11/5 11:54 a.m.,
Palacio Egipcio,Colombia,,1,,,,1,,11/05/2021 7:00 p.m.,
Museo de la Publicidad UPB,Colombia,,,1,,,1,,12/05 10:14 a.m.,
Consejo Municipal de Cultura Medellín,Colombia,,1,1,,,1,,12:05 6:39 a.m.,
Museólogas y Museólogos de Colombia,Colombia,,1,,,,1,,11/05/ 8:32 a.m.,
Vokaribe Radio Comunitaria del Suoccidente de Barranquilla,Colombia,,,,,,0,,12,
Museo del Río Magdalena Colombia,Colombia,,,,,,0,,13/05,
Museo de la Universidad del Rosario,Colombia,,1,1,,,1,,13/05,https://www.facebook.com/269578840445138/posts/956590011744014/?substory_index=0&sfnsn=scwspwa
Casa Museo Tequendama,Colombia,Cundinamarca,,,,,0,,13/05,
Museo Luis A Calvo,Colombia,,,,,,0,,,
Santuario San Pedro Claver,Colombia,Cartagena,,,,,0,,,
Asociación Colombiana de Antropología,Colombia,,,,,,0,,,
Iniciativa Red de Museos del Valle de Tenza,Colombia,,,,,,0,,,
Museo Q ,Colombia,,,,,,,,,
Espacio Odeón,Colombia,Cundinamarca,,,,,0,,,
Mesa de Museos de Bogotá,Colombia,Bogotá,,,,,0,,,
Museológica,Colombia,Bogotá,1,1,,,1,,,
Sala Arqueológica Sonsón,Colombia,,1,,,,1,,,
Museo Arqueológico Eliécer Silva Celis,Colombia,Sogamoso Boyaca,,,,,0,,,
Museo Comunitario Guainía,Colombia,,,,,,0,,,
Museo de Antioquia,Colombia ,Medellin ,,,,,0,,,
Museo de Arte Contemporáneo ,Colombia ,Bogotá,,,,,0,,13/05,
Vigías del Patrimonio Museo del Vidrio ,Colombia ,Bogotá,,,,,0,,13/05,
Facultad de estudios de Patrimonio cultural. U. Externado,Colombia ,Bogotá,,,,,,,,
Facultad de Artes UNAL,Colombia ,,,,,,0,,,https://www.facebook.com/FacultadArtesUniversidadNacional/videos/146391010798645
Red Museos de Sonsón,Colombia ,Antioquia,1,,,,1,,,
"Museo Arqueologico Tierras de Xixaraca, Risaralda",Colombia ,Risaralda,,,,,0,,,
Colectivo de Comunicaciones Montes de María,Colombia ,Bolivar,,,,,0,,,
Museo Pedagógico Colombiano,Colombia ,Bogotá,,,,,0,,,
Museo Comunitario Graciliano Arcila Vélez ,Colombia ,,,1,,,1,,,
Museo Comunitario de San Jacinto,Colombia ,Bolivar,,,,,0,,,
Parque Museo Arqueológico de Tunja UPTC,Colombia ,Boyaca ,,,,,0,,,
Gente de Museos,Colombia,,1,,,,1,,11/05/2021 12:15:00 m,
Gente de Museos,México,,,,,,0,,,
Dirección del Sistema Integrado de Museos y Herbarios. Universidad ,Ecuador,,1,,,,1,,11/05/2021 6:42 p.m.,
Grupodimpi (GSIM),España,,,,1,,1,,,
Museo Reina Sofía ,España,Madrid,,,,,,,,
Casa de la Memoria Kaji Tulam,Guatemala,,,,,,0,,,
Corriere della Serra,Italia,Artículo periodismo,,,,,,,,
Fondo de cultura economica ,Mexico,Ciudad de México,,,,,,,,
Canal Seis de Julio,México,,1,,1,,1,,11/05 9:22 p.m.,
De qué hablo cuando hablo de museos y género,México,,1,,1,,1,,11/05 10:22 p.m.,
Instituto de Liderazgo en Museos ,México,,1,,1,,1,,13/05,
Museos UNAM HOY ,México,,,,,,0,,13/05,
Museo de las Constituciones ,México,,,,,,0,,,
Papalote Museo del Niño,México,,,,,,0,,,
"Capilla del Arte Universidad de las Américas, ",México,Puebla,,,,,0,,,
Colección de arte UDLAP Universidad de las américas de Puebla,México,Puebla ,,,,,,,,
Museo Arocena,Mexico ,Torreon Coahuila ,,,,,,,,
MUCA Roma UNAM,Mexico ,,1,,,,1,,,
ICOM CECA ,Perú,,1,,1,,1,,11/05/2021 2:48 p.m.,
Eco Museo Tucume ,Perú,Tucume,,,,,,,,
Red Exalumnos ULHT,Portugal,,1,,,,1,,,
Departalento de Museología ULHT,Portugal,,1,,1,,1,,11/05 11:53 a.m.,
MMRD Museo de la resistencia ,República Dominicana,,,,1,,1,,11/05/2021 11:18 a.m.,
ICOM,República Dominicana,,,1,,,1,,11/05 9:00 a.m.,
Pasión Cultural,República Dominicana,,,1,,,1,,11/05 12:00 m,
Museo de la Resistencia,República Dominicana,,,1,,,1,,,
ICOM Venezuela,Venezuela,,,,,,0,,,
Galería-NO,Colombia,,1,1,,,1,,12/05 6:26,
Toxic Lesbian ,España,,,,,,0,,13/05,
CECA LAC,Internacional,,,,,,0,,,
Federación internacional de Museos de Derechos Humanos,Internacional,,,,,,0,,,
Organización Entre Ríos,Argentina ,,,,,,0,,,
Comunicado Anónimo ,,,,,,,0,,,
ICMEMO International Committee of Memorial Museums,Internacional,,,,,,,,,
